Year,All Causes,Diseases of the Heart,Malignant Neoplasms,Cerebrovascular Diseases,Chronic Lower Respiratory Diseases,Diabetes Mellitus,Accidents,Motor Vehicle Accidents,Influenza and Pneumonia,Septicemia,Alzheimer's Disease,Human Immunodeficiency Virus (HIV) Disease,"Nephritis, Nephrotic Syndrome, and Nephrosis",Assault (Homicide),Chronic Liver Disease and Cirrhosis,Intentional Self-Harm (Suicide),Certain Conditions Originating in the Perinatal Period
01/01/1992 12:00:00 AM,38833,11844,9943,2100,1451,1102,1262,629,1151,588,,771,478,650,403,463,430
01/01/1993 12:00:00 AM,40332,12137,9897,2260,1542,1258,1371,667,1233,588,,1009,506,660,428,523,437
01/01/1994 12:00:00 AM,40939,11990,10060,2515,1663,1322,1340,651,1186,600,,1216,463,649,413,523,360
01/01/1995 12:00:00 AM,41681,11856,10158,2624,1597,1349,1373,676,1354,628,345,1293,470,639,418,507,347
01/01/1996 12:00:00 AM,41903,11913,10146,2650,1760,1413,1411,649,1447,628,364,1061,479,604,425,501,331
01/01/1997 12:00:00 AM,41681,11949,10107,2602,1814,1385,1354,639,1457,668,374,591,472,551,410,516,366
01/01/1998 12:00:00 AM,41970,11869,10187,2631,1711,1433,1343,629,1640,741,361,501,445,575,438,494,375
01/01/1999 12:00:00 AM,42908,12014,10096,2860,1941,1408,1240,547,1150,966,676,587,571,524,480,437,350
01/01/2000 12:00:00 AM,43602,12285,10248,2933,1922,1512,1114,574,1113,956,809,549,585,500,445,474,347
01/01/2001 12:00:00 AM,43673,12217,10293,2856,1894,1442,1308,657,948,981,944,568,588,502,477,452,361
01/01/2002 12:00:00 AM,43917,11946,10387,2803,1939,1509,1320,696,1138,1013,864,602,627,540,442,474,335
01/01/2003 12:00:00 AM,44364,12071,10251,2725,1973,1442,1431,701,1184,1091,858,637,578,555,440,482,356
01/01/2004 12:00:00 AM,43157,11271,10146,2712,1902,1410,1400,667,1123,1061,905,551,692,537,419,492,402
01/01/2005 12:00:00 AM,43778,11564,10349,2465,1889,1385,1363,635,1215,1080,954,526,739,574,466,464,334
01/01/2006 12:00:00 AM,43491,11191,10336,2358,1827,1230,1424,719,1091,964,908,480,756,567,407,484,365
01/01/2007 12:00:00 AM,43597,11346,10142,2238,1898,1297,1470,677,1006,921,880,431,728,576,443,508,401
01/01/2008 12:00:00 AM,43849,11217,10345,2250,1955,1237,1460,643,1017,998,1017,431,761,528,407,493,381
01/01/2009 12:00:00 AM,43763,11143,10376,2281,2049,1198,1392,586,978,1052,936,355,799,446,424,546,316
01/01/2010 12:00:00 AM,43255,10898,10249,2262,2035,1186,1440,506,922,883,982,315,802,437,449,505,303
01/01/2011 12:00:00 AM,43650,10567,10223,2312,2064,1272,1542,512,1032,800,917,262,708,435,462,550,297
01/01/2012 12:00:00 AM,44110,10867,10402,2238,1948,1208,1642,517,979,906,892,255,694,414,448,557,272
01/01/2013 12:00:00 AM,45444,11176,10545,2290,2044,1242,1679,511,1093,955,911,226,728,421,453,561,311
01/01/2014 12:00:00 AM,45688,11091,10713,2446,1904,1297,1634,459,1017,1018,929,192,748,382,481,593,269
01/01/2015 12:00:00 AM,47235,11483,10565,2539,2038,1244,1902,518,1175,912,1092,189,833,598,518,550,276
01/01/2016 12:00:00 AM,48884,11408,10919,2706,2073,1357,2282,569,1025,878,1178,191,824,579,464,581,269
01/01/2017 12:00:00 AM,50009,11670,10800,2822,2077,1439,2424,578,1175,885,1192,200,831,588,472,630,250
